ID,Slug,Name,Team
1630573,sam-hauser,Sam Hauser,BOS
1630572,sandro-mamukelashvili,Sandro Mamukelashvili,MIL
1630583,santi-aldama,Santi Aldama,MEM
1630567,scottie-barnes,Scottie Barnes,TOR
1630575,scottie-lewis,Scottie Lewis,CHA
1630590,scotty-pippen,Scotty Pippen Jr.,LAL
201586,serge-ibaka,Serge Ibaka,MIL
203552,seth-curry,Seth Curry,BKN
1631101,shaedon-sharpe,Shaedon Sharpe,POR
1628983,shai-gilgeous-alexander,Shai Gilgeous-Alexander,OKC
1629003,shake-milton,Shake Milton,PHI
1630536,sharife-cooper,Sharife Cooper,ATL
1630219,skylar-mays,Skylar Mays,ATL
203915,spencer-dinwiddie,Spencer Dinwiddie,DAL
1626169,stanley-johnson,Stanley Johnson,LAL
201939,stephen-curry,Stephen Curry,GSW
1628425,sterling-brown,Sterling Brown,HOU
203500,steven-adams,Steven Adams,MEM
1629004,svi-mykhailiuk,Svi Mykhailiuk,TOR
204456,tj-mcconnell,T.J. McConnell,IND
203933,tj-warren,T.J. Warren,IND
201959,taj-gibson,Taj Gibson,NYK
1629659,talen-horton-tucker,Talen Horton-Tucker,LAL
1631106,tari-eason,Tari Eason,HOU
1627752,taurean-prince,Taurean Prince,MIN
1629611,terance-mann,Terance Mann,LAC
1629056,terence-davis,Terence Davis,SAC
203082,terrence-ross,Terrence Ross,ORL
1626179,terry-rozier,Terry Rozier,CHA
1630678,terry-taylor,Terry Taylor,IND
201152,thaddeus-young,Thaddeus Young,TOR
203648,thanasis-antetokounmpo,Thanasis Antetokounmpo,MIL
1630177,theo-maledon,Theo Maledon,OKC
1629033,theo-pinson,Theo Pinson,DAL
1628418,thomas-bryant,Thomas Bryant,LAL
203501,tim-hardaway,Tim Hardaway Jr.,DAL
1627789,timothe-luwawu-cabarrot,Timothe Luwawu-Cabarrot,ATL
202699,tobias-harris,Tobias Harris,PHI
203107,tomas-satoransky,Tomas Satoransky,WAS
1628396,tony-bradley,Tony Bradley,CHI
203503,tony-snell,Tony Snell,NOP
1628470,torrey-craig,Torrey Craig,PHX
