ID,Name,Team
202355,Hassan Whiteside,UTA
1630580,Joe Wieskamp,SAS
1630598,Aaron Wiggins,OKC
203952,Andrew Wiggins,GSW
1629623,Lindell Wigginton,MIL
1631214,Alondes Williams,BKN
1630314,Brandon Williams,POR
1629684,Grant Williams,BOS
1631114,Jalen Williams,OKC
1631119,Jaylin Williams,OKC
1629026,Kenrich Williams,OKC
101150,Lou Williams,ATL
1631109,Mark Williams,CHA
1630172,Patrick Williams,CHI
1630533,Ziaire Williams,MEM
1629057,Robert Williams III,BOS
1631246,Vince Williams Jr.,MEM
1629627,Zion Williamson,NOP
1629685,Dylan Windler,CLE
1626159,Justise Winslow,POR
1630216,Cassius Winston,WAS
1630164,James Wiseman,GSW
1626174,Christian Wood,DAL
1630218,Robert Woodard II,SAS
1626153,Delon Wright,ATL
1630589,Moses Wright,DAL
1630593,McKinley Wright IV,MIN
1628221,Gabe York,IND
201152,Thaddeus Young,TOR
1629027,Trae Young,ATL
1630209,Omer Yurtseven,MIA
1627826,Ivica Zubac,LAC
